env,side,map,mode_n_type,round_dur_s,name,created_x0,created_z0,trigger_x1,trigger_z1,round_time_s
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,111,vt_grenade_smoke,20.3512,32.721,21.4845,35.0867,74
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_molotov,-45.9154,10.2801,-46.5452,44.2415,40
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_flash,26.9959,15.5369,34.0625,26.0888,52
rushb-master,0,/battle/levels/24_shift/24_shift.level,bomb_5x5_economy/rating,127,vt_grenade_smoke,-28.9613,-39.278,-30.0383,-29.0494,38
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_robotron,-7.1846,-53.0089,-0.3585,-63.4897,108
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-21.9869,-50.2527,-0.4717,-48.4423,92
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-10.1164,-51.3184,-10.903,-39.5848,19
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,149,vt_grenade_echo,-63.4811,-11.6606,-44.5685,10.9989,33
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,106,vt_grenade_smoke,-42.0915,13.3716,-60.8691,-8.6979,29
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_smoke_2,14.7401,8.847,-16.2608,-8.8602,31
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,130,vt_grenade_smoke_2,-19.6714,-6.1084,-10.569,9.4215,39
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,97,vt_grenade_flash_detector,-14.7791,35.3767,-6.5481,18.8518,74
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,106,vt_grenade_echo,-64.3633,-7.695,-44.5486,11.2018,37
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,88,vt_grenade_smoke_2,12.8458,9.6097,-16.7428,-8.913,31
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,107,vt_grenade_echo,40.3648,3.7432,26.6562,15.7311,37
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,108,vt_grenade_echo,37.8621,1.4787,19.185,36.618,36
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_flash_detector,-64.8129,19.8861,-28.4108,28.8923,49
